source,target,Diff_RR,Diff_Corr,Pair
281,519,2.062760385066537,0.0262290535594214,281_519
379,250,2.6276244259068324,0.0138742880489518,379_250
813,788,3.366470588235294,0.0187801722591399,813_788
403,079,1.4308739322665804,0.0138620890895816,403_079
403,519,1.1988372314671851,0.0140697710980758,403_519
079,428,4.38012763663554,0.0158651880175286,079_428
519,428,2.137553822879088,0.0161157546100404,519_428
511,519,5.941491406603347,0.0155042506563477,511_519
511,079,2.127442729341193,0.0112718470132995,511_079
573,519,1.0895464369116517,0.0021797434411124,573_519
573,079,1.3004297444640136,0.0027415514347714,573_079
037,294,2.548638351751553,0.0105281022107852,037_294
362,578,3.5884024654673943,0.0172841317596929,362_578
560,079,1.5267367129472451,0.009321677368668,560_079
571,519,1.812481681293268,0.0025338328499549,571_519
332,519,1.2048837253128295,0.0123665760552856,332_519
692,079,1.1286003214330858,0.0071371547945997,692_079
692,519,1.378973189607518,0.0107448349747734,692_519
332,079,1.4380907338458533,0.0122868992021481,332_079
490,428,2.671974944926613,0.0225163383107997,490_428
218,780,3.513350069456991,0.0108137059783574,218_780
079,482,5.619690154922539,0.0280248945037695,079_482
560,519,1.639941652991587,0.0097668762446988,560_519
410,562,3.379904361146088,0.0166625655172291,410_562
241,789,3.059522620593229,0.0147990463308496,241_789
793,079,1.2137093268929129,0.0025479203672972,793_079
790,386,3.117568987446773,0.0180361200849203,790_386
197,079,2.572298640558026,0.0029664574610038,197_079
162,519,1.382299287874354,0.0018970414462789,162_519
536,079,1.416562457337884,0.0077801873687967,536_079
578,079,1.0794515636034483,0.0038072570775287,578_079
266,519,1.6725380928256888,0.0098465650094035,266_519
285,311,3.6439299794985023,0.0167114894532128,285_311
426,294,3.833239840699716,0.0236780171283637,426_294
482,079,1.151946602068704,0.0086979916689859,482_079
436,079,1.3821152782809312,0.0068496075996517,436_079
788,281,2.803571428571429,0.0154825508788857,788_281
478,788,3.834531250000001,0.0160049811550051,478_788
583,455,3.574334777227723,0.0161186973920679,583_455
351,786,6.049345111178801,0.0203047533552515,351_786
266,079,2.195886317527929,0.0091151461498382,266_079
162,079,7.259319488128966,0.0054591368319488,162_079
410,519,1.515127322416748,0.0027106571066778,410_519
410,079,1.627544189924749,0.0027424377859084,410_079
788,011,3.065168539325842,0.0158856846612933,788_011
