source,distance (DIFF),type
ICD9 079,1.2941176470588236,negative
ICD9 079,1.3064516129032258,negative
ICD9 079,1.3783783783783785,negative
ICD9 079,1.3184079601990046,negative
ICD9 079,1.2499999999999998,negative
ICD9 079,1.3763440860215055,negative
ICD9 079,1.3333333333333333,negative
ICD9 079,0.9999999999999998,negative
ICD9 079,1.2121212121212126,negative
ICD9 079,1.2916666666666667,negative
ICD9 079,1.5625,negative
ICD9 079,1.192307692307692,negative
ICD9 079,1.3333333333333333,negative
ICD9 079,1.0,negative
ICD9 079,1.2413793103448278,negative
ICD9 079,1.0,negative
ICD9 079,1.4285714285714286,negative
ICD9 079,1.0,negative
ICD9 079,2.0,negative
ICD9 079,1.3703703703703707,negative
ICD9 079,1.368421052631579,negative
ICD9 079,1.3219512195121952,negative
ICD9 079,2.0,negative
ICD9 079,1.333333333333333,negative
ICD9 079,1.1538461538461535,negative
ICD9 079,1.4508196721311473,negative
ICD9 079,1.0,negative
ICD9 079,1.25,negative
ICD9 079,1.3244837758112094,negative
ICD9 079,1.2887700534759359,negative
ICD9 079,1.2864583333333333,negative
ICD9 079,1.2887700534759359,negative
ICD9 079,1.2925531914893615,negative
ICD9 079,1.3977900552486187,negative
ICD9 079,1.4078212290502794,negative
ICD9 079,1.4090909090909087,negative
ICD9 079,1.4157303370786516,negative
ICD9 079,1.3534136546184738,negative
ICD9 079,1.3125,negative
ICD9 079,2.0,negative
ICD9 079,2.5,negative
ICD9 079,1.25,negative
ICD9 079,1.355,negative
ICD9 079,1.6086956521739129,negative
ICD9 079,1.3829787234042554,negative
ICD9 079,1.34,negative
ICD9 079,1.222222222222222,negative
ICD9 079,1.4137931034482758,negative
ICD9 079,1.6666666666666667,negative
ICD9 079,1.0,negative
ICD9 079,1.4,negative
ICD9 079,1.6153846153846156,negative
ICD9 079,1.0,negative
ICD9 079,1.3888888888888888,negative
ICD9 079,1.0,negative
ICD9 079,1.3965517241379308,negative
ICD9 079,1.4166666666666665,negative
ICD9 079,1.0,negative
ICD9 079,1.5,negative
ICD9 079,2.5,negative
ICD9 079,1.4375,negative
ICD9 079,1.5,negative
ICD9 079,1.25,negative
ICD9 079,1.4210526315789471,negative
ICD9 079,1.0,negative
ICD9 079,1.3333333333333333,negative
ICD9 079,1.3636363636363633,negative
ICD9 079,1.3499999999999999,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,1.0,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,1.3333333333333333,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.5,negative
ICD9 079,0.9999999999999998,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,1.2222222222222223,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.8000000000000003,negative
ICD9 079,1.35,negative
ICD9 079,1.2771084337349397,negative
ICD9 079,1.125,negative
ICD9 079,1.4705882352941175,negative
ICD9 079,1.4571428571428573,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,1.2000000000000002,negative
ICD9 079,1.2941176470588236,negative
ICD9 079,1.1666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,1.4375,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,1.3333333333333335,negative
ICD9 079,0.75,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,1.32,negative
ICD9 079,1.3939393939393938,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,0.6666666666666667,negative
ICD9 079,1.5,negative
ICD9 079,1.3333333333333333,negative
ICD9 079,2.0,negative
ICD9 079,2.0,negative
ICD9 079,2.0,negative
