ICD,Protein,Protein_PPI,Protein_Num,Protein_PPI_Num
306,[6530],[6530],1,1
307,"[7200, 6531, 114798, 15, 1392, 4208, 1106, 1814, 1815, 3067, 3356, 10911]","[7200, 6531, 114798, 15, 4208, 1392, 1106, 1814, 1815, 3067, 3356]",12,11
309,[1815],[1815],1,1
312,"[2354, 1813, 1814]","[2354, 1813, 1814]",3,3
313,"[6285, 1815]","[6285, 1815]",2,2
314,"[6531, 1813, 1815, 1816, 412, 5789, 1312, 28964, 121278, 57412, 2245, 50632, 6869, 2911, 2915, 2917, 2918, 23152, 1137, 9969, 1268, 1141, 23284, 23036]","[6531, 1813, 1815, 1816, 412, 5789, 1312, 28964, 121278, 2245, 50632, 6869, 2911, 2915, 2917, 2918, 23152, 9969, 1137, 23284, 1141, 1268, 23036]",24,23
315,"[50944, 1282, 9091, 51594, 87178, 18, 11154, 54802, 26007, 3480, 91801, 9495, 6942, 9254, 23334, 51112, 161582, 7343, 27185, 8242, 8884, 2741, 63925, 2555, 6712, 1729, 54982, 23111, 3703, 2558, 79823, 57551, 86, 2263, 2782, 5728, 10464, 4968, 55275, 1644, 8560, 6513, 23028, 5879, 201595, 128637, 80254]","[50944, 1282, 9091, 87178, 51594, 18, 11154, 54802, 9495, 3480, 91801, 26007, 6942, 23334, 9254, 51112, 161582, 7343, 27185, 8242, 8884, 63925, 2741, 2555, 6712, 1729, 2558, 23111, 3703, 54982, 57551, 79823, 86, 2263, 2782, 5728, 10464, 4968, 55275, 1644, 8560, 6513, 23028, 5879, 201595, 128637, 80254]",47,47
317,"[79876, 253959, 79882, 10256, 51227, 10274, 4131, 8242, 10295, 51256, 10297, 4163, 79944, 86, 53335, 51294, 95, 8290, 10342, 8295, 4204, 4208, 254065, 4212, 51317, 51322, 132, 57477, 57479, 2186, 142, 2194, 139411, 151, 158, 162, 80036, 6309, 192683, 8364, 2222, 8366, 6323, 84148, 6328, 84153, 391356, 6334, 200894, 116931, 51399, 57551, 51412, 2263, 224, 4330, 2290, 6418, 10522, 80155, 2332, 10531, 10535, 22827, 2348, 55596, 84274, 80185, 318, 324, 55621, 26960, 57680, 80210, 6487, 55644, 84320, 22884, 57700, 80232, 6506, 6509, 8558, 6513, 51574, 8575, 6531, 55684, 6535, 55690, 29072, 55703, 29081, 22941, 8609, 407975, 4520, 10664, 427, 2475, 429, 79868, 63925, 80311, 8635, 445, 22978, 80324, 6601, 6602, 22985, 460, 8659, 2517, 471, 8665, 476, 55773, 2530, 27107, 10735, 10743, 2555, 23036, 221692, 10752, 2561, 23040, 6659, 6662, 55825, 10771, 8724, 2582, 2592, 2593, 10785, 6697, 27185, 51761, 4659, 10806, 4669, 8766, 55870, 51780, 131669, 23126, 113246, 8799, 23135, 55904, 2671, 23152, 627, 23162, 8831, 197258, 84628, 4763, 672, 8869, 4774, 4781, 6834, 27315, 8884, 23221, 6844, 84668, 55998, 55999, 10943, 49855, 6857, 23241, 8913, 6872, 6873, 2778, 64216, 64219, 10973, 2782, 6878, 64220, 389856, 84706, 8936, 6898, 2806, 760, 6904, 23291, 767, 84735, 11011, 774, 777, 23316, 796, 6942, 6948, 4905, 4909, 815, 816, 23345, 9024, 4929, 835, 64324, 2890, 2891, 2902, 2904, 4953, 2906, 23384, 23389, 283489, 80746, 890, 201595, 11132, 23431, 80781, 7054, 84879, 11160, 2972, 23476, 953, 11198, 23499, 56270, 84947, 5080, 23512, 80856, 9179, 100131801, 998, 1000, 9204, 11253, 3064, 9215, 1024, 3073, 5127, 11277, 9230, 11279, 390168, 3097, 3098, 7204, 5159, 23597, 5190, 3149, 11342, 1107, 3155, 23636, 9330, 3190, 5238, 3192, 58499, 87178, 58508, 1173, 56479, 9378, 9379, 1200, 199857, 7355, 7360, 79042, 7372, 23761, 9439, 29920, 54499, 9444, 79090, 54517, 5373, 9472, 7432, 3340, 9488, 7443, 1317, 7468, 56623, 50484, 25914, 25930, 5455, 7507, 283989, 25942, 163175, 7528, 7532, 9581, 85358, 5515, 5518, 116115, 54676, 64919, 5528, 54681, 284058, 26040, 392636, 1476, 5582, 1496, 9698, 26115, 9739, 26128, 7701, 54806, 7703, 83480, 9758, 9759, 9772, 3631, 9775, 7737, 284217, 65084, 7750, 54856, 24137, 54870, 1630, 5728, 124512, 54888, 26224, 50801, 9841, 1654, 3703, 1656, 128637, 7812, 3735, 54936, 3737, 81562, 91801, 54941, 7846, 26278, 57003, 9901, 5805, 5813, 1717, 1725, 1729, 9922, 9923, 81603, 5831, 5833, 81609, 1742, 3798, 120534, 79576, 116442, 200424, 7915, 116461, 55023, 79600, 9969, 1778, 284403, 1781, 5879, 5881, 1788, 79621, 440073, 5898, 5900, 79644, 5917, 1822, 79649, 55074, 5927, 81704, 3899, 10056, 1871, 5977, 57178, 55131, 112476, 28514, 10084, 128869, 10087, 55148, 6000, 3954, 8050, 51062, 374654, 51075, 59272, 55180, 1933, 57231, 10129, 26523, 51114, 55212, 10157, 147372, 1968, 51124, 51132, 57282, 4036, 4047, 6095, 55250, 81887, 83939, 55275, 4081, 2036, 10236]","[79876, 253959, 79882, 10256, 51227, 10274, 4131, 8242, 10295, 51256, 10297, 4163, 79944, 86, 53335, 51294, 95, 8290, 10342, 8295, 4204, 4208, 254065, 4212, 51317, 51322, 132, 57479, 2186, 142, 2194, 151, 158, 162, 80036, 6309, 192683, 8364, 8366, 2222, 6323, 84148, 6328, 84153, 391356, 200894, 6334, 116931, 51399, 57551, 51412, 2263, 224, 4330, 2290, 6418, 10522, 80155, 2332, 10531, 10535, 22827, 55596, 10236, 2348, 84274, 80185, 318, 324, 55621, 57680, 26960, 80210, 6487, 55644, 84320, 22884, 57700, 80232, 6506, 6509, 8558, 6513, 51574, 8575, 6531, 55684, 6535, 55690, 29072, 55703, 29081, 22941, 8609, 10664, 4520, 2475, 427, 429, 63925, 80311, 8635, 445, 22978, 80324, 6601, 6602, 22985, 460, 8659, 2517, 471, 8665, 476, 55773, 2530, 27107, 10735, 10743, 2555, 23036, 221692, 23040, 2561, 10752, 6659, 6662, 55825, 10771, 8724, 2582, 2592, 2593, 10785, 6697, 27185, 51761, 4659, 10806, 4669, 8766, 55870, 51780, 131669, 23126, 113246, 8799, 23135, 55904, 2671, 23152, 627, 23162, 8831, 197258, 84628, 4763, 672, 8869, 4774, 4781, 6834, 27315, 8884, 23221, 6844, 84668, 55998, 10943, 49855, 6857, 23241, 8913, 6872, 6873, 2778, 64216, 64219, 10973, 2782, 6878, 389856, 64220, 84706, 8936, 6898, 2806, 6904, 760, 23291, 767, 84735, 11011, 774, 777, 23316, 796, 6942, 6948, 4905, 4909, 815, 816, 23345, 9024, 4929, 835, 64324, 2890, 2891, 2902, 2904, 23384, 4953, 2906, 23389, 283489, 80746, 890, 201595, 11132, 23431, 80781, 7054, 84879, 11160, 2972, 23476, 953, 11198, 23499, 56270, 84947, 5080, 23512, 80856, 9179, 998, 1000, 9204, 11253, 3064, 9215, 1024, 3073, 5127, 11277, 9230, 11279, 3097, 3098, 7204, 5159, 23597, 5190, 3149, 11342, 1107, 23636, 3155, 9330, 3190, 5238, 3192, 58499, 87178, 58508, 1173, 56479, 9378, 9379, 1200, 199857, 7355, 7360, 79042, 7372, 23761, 9439, 29920, 54499, 9444, 79090, 54517, 5373, 9472, 7432, 3340, 9488, 7443, 1317, 7468, 56623, 50484, 25914, 25930, 5455, 7507, 283989, 25942, 163175, 7528, 7532, 9581, 85358, 5515, 5518, 116115, 54676, 64919, 5528, 54681, 284058, 26040, 392636, 1476, 5582, 1496, 9698, 26115, 9739, 26128, 7701, 54806, 7703, 83480, 9758, 9759, 9772, 9775, 3631, 284217, 7737, 65084, 7750, 54856, 24137, 54870, 1630, 5728, 124512, 54888, 26224, 9841, 50801, 1654, 3703, 1656, 128637, 7812, 3735, 54936, 91801, 81562, 3737, 54941, 7846, 26278, 57003, 9901, 5805, 5813, 1717, 1725, 1729, 9922, 81603, 9923, 5831, 81609, 5833, 1742, 3798, 120534, 79576, 116442, 200424, 7915, 116461, 55023, 79600, 9969, 1778, 284403, 1781, 5879, 5881, 1788, 79621, 5898, 5900, 79644, 5917, 1822, 79649, 55074, 5927, 81704, 3899, 10056, 1871, 5977, 57178, 55131, 112476, 28514, 10084, 128869, 10087, 55148, 6000, 8050, 3954, 51062, 374654, 51075, 59272, 55180, 1933, 57231, 10129, 26523, 51114, 55212, 147372, 10157, 1968, 51124, 51132, 57282, 4036, 4047, 6095, 55250, 81887, 83939, 55275, 4081, 2036, 79868]",447,440
318,"[79876, 253959, 79882, 10256, 51227, 10274, 4131, 8242, 10295, 51256, 10297, 4163, 79944, 86, 53335, 51294, 95, 8290, 10342, 8295, 4204, 4208, 254065, 4212, 51317, 51322, 132, 57477, 57479, 2186, 142, 2194, 139411, 151, 158, 162, 80036, 6309, 192683, 8364, 2222, 8366, 6323, 84148, 6328, 84153, 391356, 6334, 200894, 116931, 51399, 57551, 51412, 2263, 224, 4330, 2290, 6418, 10522, 80155, 2332, 10531, 10535, 22827, 2348, 55596, 84274, 80185, 318, 324, 55621, 26960, 57680, 80210, 6487, 55644, 84320, 22884, 57700, 80232, 6506, 6509, 8558, 6513, 51574, 8575, 6531, 55684, 6535, 55690, 29072, 55703, 29081, 22941, 8609, 407975, 4520, 10664, 427, 2475, 429, 79868, 63925, 80311, 8635, 445, 22978, 80324, 6601, 6602, 22985, 460, 8659, 2517, 471, 8665, 476, 55773, 2530, 27107, 10735, 10743, 2555, 23036, 221692, 10752, 2561, 23040, 6659, 6662, 55825, 10771, 8724, 2582, 2592, 2593, 10785, 6697, 27185, 51761, 4659, 10806, 4669, 8766, 55870, 51780, 131669, 23126, 113246, 8799, 23135, 55904, 2671, 23152, 627, 23162, 8831, 197258, 84628, 4763, 672, 8869, 4774, 4781, 6834, 27315, 8884, 23221, 6844, 84668, 55998, 55999, 10943, 49855, 6857, 23241, 8913, 6872, 6873, 2778, 64216, 64219, 10973, 2782, 6878, 64220, 389856, 84706, 8936, 6898, 2806, 760, 6904, 23291, 767, 84735, 11011, 774, 777, 23316, 796, 6942, 6948, 4905, 4909, 815, 816, 23345, 9024, 4929, 835, 64324, 2890, 2891, 2902, 2904, 4953, 2906, 23384, 23389, 283489, 80746, 890, 201595, 11132, 23431, 80781, 7054, 84879, 11160, 2972, 23476, 953, 11198, 23499, 56270, 84947, 5080, 23512, 80856, 9179, 100131801, 998, 1000, 9204, 11253, 3064, 9215, 1024, 3073, 5127, 11277, 9230, 11279, 390168, 3097, 3098, 7204, 5159, 23597, 5190, 3149, 11342, 1107, 3155, 23636, 9330, 3190, 5238, 3192, 58499, 87178, 58508, 1173, 56479, 9378, 9379, 1200, 199857, 7355, 7360, 79042, 7372, 23761, 9439, 29920, 54499, 9444, 79090, 54517, 5373, 9472, 7432, 3340, 9488, 7443, 1317, 7468, 56623, 50484, 25914, 25930, 5455, 7507, 283989, 25942, 163175, 7528, 7532, 9581, 85358, 5515, 5518, 116115, 54676, 64919, 5528, 54681, 284058, 26040, 392636, 1476, 5582, 1496, 9698, 26115, 9739, 26128, 7701, 54806, 7703, 83480, 9758, 9759, 9772, 3631, 9775, 7737, 284217, 65084, 7750, 54856, 24137, 54870, 1630, 5728, 124512, 54888, 26224, 50801, 9841, 1654, 3703, 1656, 128637, 7812, 3735, 54936, 3737, 81562, 91801, 54941, 7846, 26278, 57003, 9901, 5805, 5813, 1717, 1725, 1729, 9922, 9923, 81603, 5831, 5833, 81609, 1742, 3798, 120534, 79576, 116442, 200424, 7915, 116461, 55023, 79600, 9969, 1778, 284403, 1781, 5879, 5881, 1788, 79621, 440073, 5898, 5900, 79644, 5917, 1822, 79649, 55074, 5927, 81704, 3899, 10056, 1871, 5977, 57178, 55131, 112476, 28514, 10084, 128869, 10087, 55148, 6000, 3954, 8050, 51062, 374654, 51075, 59272, 55180, 1933, 57231, 10129, 26523, 51114, 55212, 10157, 147372, 1968, 51124, 51132, 57282, 4036, 4047, 6095, 55250, 81887, 83939, 55275, 4081, 2036, 10236]","[79876, 253959, 79882, 10256, 51227, 10274, 4131, 8242, 10295, 51256, 10297, 4163, 79944, 86, 53335, 51294, 95, 8290, 10342, 8295, 4204, 4208, 254065, 4212, 51317, 51322, 132, 57479, 2186, 142, 2194, 151, 158, 162, 80036, 6309, 192683, 8364, 8366, 2222, 6323, 84148, 6328, 84153, 391356, 200894, 6334, 116931, 51399, 57551, 51412, 2263, 224, 4330, 2290, 6418, 10522, 80155, 2332, 10531, 10535, 22827, 55596, 10236, 2348, 84274, 80185, 318, 324, 55621, 57680, 26960, 80210, 6487, 55644, 84320, 22884, 57700, 80232, 6506, 6509, 8558, 6513, 51574, 8575, 6531, 55684, 6535, 55690, 29072, 55703, 29081, 22941, 8609, 10664, 4520, 2475, 427, 429, 63925, 80311, 8635, 445, 22978, 80324, 6601, 6602, 22985, 460, 8659, 2517, 471, 8665, 476, 55773, 2530, 27107, 10735, 10743, 2555, 23036, 221692, 23040, 2561, 10752, 6659, 6662, 55825, 10771, 8724, 2582, 2592, 2593, 10785, 6697, 27185, 51761, 4659, 10806, 4669, 8766, 55870, 51780, 131669, 23126, 113246, 8799, 23135, 55904, 2671, 23152, 627, 23162, 8831, 197258, 84628, 4763, 672, 8869, 4774, 4781, 6834, 27315, 8884, 23221, 6844, 84668, 55998, 10943, 49855, 6857, 23241, 8913, 6872, 6873, 2778, 64216, 64219, 10973, 2782, 6878, 389856, 64220, 84706, 8936, 6898, 2806, 6904, 760, 23291, 767, 84735, 11011, 774, 777, 23316, 796, 6942, 6948, 4905, 4909, 815, 816, 23345, 9024, 4929, 835, 64324, 2890, 2891, 2902, 2904, 23384, 4953, 2906, 23389, 283489, 80746, 890, 201595, 11132, 23431, 80781, 7054, 84879, 11160, 2972, 23476, 953, 11198, 23499, 56270, 84947, 5080, 23512, 80856, 9179, 998, 1000, 9204, 11253, 3064, 9215, 1024, 3073, 5127, 11277, 9230, 11279, 3097, 3098, 7204, 5159, 23597, 5190, 3149, 11342, 1107, 23636, 3155, 9330, 3190, 5238, 3192, 58499, 87178, 58508, 1173, 56479, 9378, 9379, 1200, 199857, 7355, 7360, 79042, 7372, 23761, 9439, 29920, 54499, 9444, 79090, 54517, 5373, 9472, 7432, 3340, 9488, 7443, 1317, 7468, 56623, 50484, 25914, 25930, 5455, 7507, 283989, 25942, 163175, 7528, 7532, 9581, 85358, 5515, 5518, 116115, 54676, 64919, 5528, 54681, 284058, 26040, 392636, 1476, 5582, 1496, 9698, 26115, 9739, 26128, 7701, 54806, 7703, 83480, 9758, 9759, 9772, 9775, 3631, 284217, 7737, 65084, 7750, 54856, 24137, 54870, 1630, 5728, 124512, 54888, 26224, 9841, 50801, 1654, 3703, 1656, 128637, 7812, 3735, 54936, 91801, 81562, 3737, 54941, 7846, 26278, 57003, 9901, 5805, 5813, 1717, 1725, 1729, 9922, 81603, 9923, 5831, 81609, 5833, 1742, 3798, 120534, 79576, 116442, 200424, 7915, 116461, 55023, 79600, 9969, 1778, 284403, 1781, 5879, 5881, 1788, 79621, 5898, 5900, 79644, 5917, 1822, 79649, 55074, 5927, 81704, 3899, 10056, 1871, 5977, 57178, 55131, 112476, 28514, 10084, 128869, 10087, 55148, 6000, 8050, 3954, 51062, 374654, 51075, 59272, 55180, 1933, 57231, 10129, 26523, 51114, 55212, 147372, 10157, 1968, 51124, 51132, 57282, 4036, 4047, 6095, 55250, 81887, 83939, 55275, 4081, 2036, 79868]",447,440
319,"[79876, 253959, 79882, 10256, 51227, 10274, 4131, 8242, 6197, 10295, 51256, 10297, 4163, 79944, 86, 53335, 51294, 95, 8290, 10342, 8295, 4204, 4208, 254065, 4212, 51317, 51322, 132, 57477, 2182, 57479, 2186, 142, 2194, 139411, 151, 57502, 158, 162, 80036, 6309, 192683, 8364, 2222, 8366, 6323, 84148, 6328, 84153, 186, 391356, 6334, 200894, 116931, 51399, 57551, 51412, 2263, 224, 4330, 2290, 6418, 10522, 80155, 2332, 10531, 10535, 22827, 8492, 2348, 55596, 84274, 80185, 170302, 318, 324, 55621, 84295, 26960, 57680, 80210, 6487, 55644, 84320, 22884, 57700, 80232, 6506, 6509, 8558, 6513, 51574, 8575, 6531, 55684, 6535, 55690, 29072, 55703, 29081, 22941, 8609, 6567, 407975, 4520, 10664, 427, 2475, 429, 79868, 63925, 80311, 8635, 445, 22978, 80324, 6601, 6602, 22985, 460, 6611, 8659, 2517, 471, 8665, 476, 55773, 2530, 27107, 10735, 10743, 2555, 23036, 221692, 10752, 2561, 6658, 23040, 6659, 6662, 55825, 10771, 8724, 2582, 2592, 2593, 546, 10785, 6697, 27185, 51761, 4659, 10806, 4669, 8766, 55870, 51780, 131669, 23126, 113246, 8799, 23135, 55904, 2664, 2671, 23152, 627, 23162, 8831, 197258, 84628, 4763, 672, 8869, 4774, 4781, 6834, 27315, 8884, 23221, 6844, 84668, 55998, 10943, 49855, 55999, 6857, 23241, 8913, 6872, 6873, 2778, 64216, 64219, 10973, 2782, 6878, 64220, 389856, 84706, 8936, 6898, 2806, 760, 6904, 23291, 767, 84735, 11011, 774, 777, 23316, 796, 6942, 6948, 4905, 4909, 815, 816, 23345, 9024, 4929, 835, 64324, 2890, 2891, 2902, 2904, 4953, 2906, 23384, 23389, 283489, 80746, 4983, 890, 201595, 11132, 11141, 23431, 80781, 7054, 84879, 11160, 2972, 23476, 953, 7102, 11198, 5063, 23499, 56270, 84947, 5080, 23512, 80856, 9179, 100131801, 998, 1000, 9204, 11253, 3064, 9215, 1024, 3073, 5127, 11277, 9230, 11279, 390168, 3097, 3098, 7204, 5159, 23597, 5190, 3149, 11342, 1107, 3155, 23636, 9330, 3190, 5238, 3192, 58499, 87178, 58508, 1173, 56479, 9378, 9379, 1200, 199857, 7355, 7360, 79042, 7372, 347344, 23761, 9439, 29920, 54499, 9444, 79090, 9459, 54517, 5373, 9472, 7432, 3340, 9488, 7443, 1317, 7468, 56623, 50484, 25914, 25930, 5455, 7507, 283989, 25942, 163175, 7528, 7532, 9581, 85358, 5515, 5518, 116115, 54676, 64919, 5528, 54681, 284058, 7592, 26040, 392636, 1476, 5582, 1496, 9698, 26115, 9739, 26128, 7701, 54806, 7703, 83480, 9758, 9759, 9772, 3631, 9775, 7737, 284217, 65084, 7750, 54856, 24137, 24140, 54870, 1630, 5728, 124512, 54888, 26224, 50801, 9841, 1654, 3703, 1656, 128637, 7812, 3735, 54936, 3737, 81562, 91801, 54941, 7846, 26278, 57003, 5805, 9901, 5813, 1717, 1725, 1729, 9922, 9923, 81603, 5831, 5833, 81609, 1741, 1742, 3798, 120534, 79576, 116442, 200424, 7915, 116461, 55023, 79600, 9969, 1778, 284403, 1781, 5879, 5881, 1788, 79621, 440073, 5898, 5900, 79644, 5917, 1822, 79649, 55074, 5927, 81704, 3897, 3899, 10056, 1871, 5977, 57178, 55131, 112476, 28514, 10084, 128869, 10087, 55148, 6000, 3954, 8050, 51062, 374654, 51075, 26503, 59272, 55180, 1933, 57231, 10129, 26523, 51114, 55212, 10157, 147372, 1968, 51124, 51132, 57282, 4036, 4047, 6095, 55250, 81887, 83939, 55275, 51185, 4081, 2036, 10236]","[79876, 253959, 79882, 10256, 51227, 10274, 4131, 8242, 6197, 10295, 51256, 10297, 4163, 79944, 86, 53335, 51294, 95, 8290, 10342, 8295, 4204, 4208, 254065, 4212, 51317, 51322, 132, 2182, 57479, 2186, 142, 2194, 151, 57502, 158, 162, 80036, 6309, 192683, 8364, 8366, 2222, 6323, 84148, 6328, 84153, 186, 391356, 200894, 6334, 116931, 51399, 57551, 51412, 2263, 224, 4330, 2290, 6418, 10522, 80155, 2332, 10531, 10535, 22827, 55596, 10236, 2348, 8492, 84274, 80185, 170302, 318, 324, 55621, 84295, 57680, 26960, 80210, 6487, 55644, 84320, 22884, 57700, 80232, 6506, 6509, 8558, 6513, 51574, 8575, 6531, 55684, 6535, 55690, 29072, 55703, 29081, 22941, 8609, 6567, 10664, 4520, 2475, 427, 429, 63925, 80311, 8635, 445, 22978, 80324, 6601, 6602, 22985, 460, 6611, 8659, 2517, 471, 8665, 476, 55773, 2530, 27107, 10735, 10743, 2555, 23036, 221692, 23040, 2561, 6658, 6659, 10752, 6662, 55825, 10771, 8724, 2582, 2592, 2593, 546, 10785, 6697, 27185, 51761, 4659, 10806, 4669, 8766, 55870, 51780, 131669, 23126, 113246, 8799, 23135, 55904, 2664, 2671, 23152, 627, 23162, 8831, 197258, 84628, 4763, 672, 8869, 4774, 4781, 6834, 27315, 8884, 23221, 6844, 84668, 55998, 10943, 49855, 6857, 23241, 8913, 6872, 6873, 2778, 64216, 64219, 10973, 2782, 6878, 389856, 64220, 84706, 8936, 6898, 2806, 6904, 760, 23291, 767, 84735, 11011, 774, 777, 23316, 796, 6942, 6948, 4905, 4909, 815, 816, 23345, 9024, 4929, 835, 64324, 2890, 2891, 2902, 2904, 23384, 4953, 2906, 23389, 283489, 80746, 4983, 890, 201595, 11132, 11141, 23431, 80781, 7054, 84879, 11160, 2972, 23476, 953, 11198, 7102, 5063, 23499, 56270, 84947, 5080, 23512, 80856, 9179, 998, 1000, 9204, 11253, 3064, 9215, 1024, 3073, 5127, 11277, 9230, 11279, 3097, 3098, 7204, 5159, 23597, 5190, 3149, 11342, 1107, 23636, 3155, 9330, 3190, 5238, 3192, 58499, 87178, 58508, 1173, 56479, 9378, 9379, 1200, 199857, 7355, 7360, 79042, 7372, 347344, 23761, 9439, 29920, 54499, 9444, 79090, 9459, 54517, 5373, 9472, 7432, 3340, 9488, 7443, 1317, 7468, 56623, 50484, 25914, 25930, 5455, 7507, 283989, 25942, 163175, 7528, 7532, 9581, 85358, 5515, 5518, 116115, 54676, 64919, 5528, 54681, 284058, 7592, 26040, 392636, 1476, 5582, 1496, 9698, 26115, 9739, 26128, 7701, 54806, 7703, 83480, 9758, 9759, 9772, 9775, 3631, 284217, 7737, 65084, 7750, 54856, 24137, 24140, 54870, 1630, 5728, 124512, 54888, 26224, 9841, 50801, 1654, 3703, 1656, 128637, 7812, 3735, 54936, 91801, 81562, 3737, 54941, 7846, 26278, 57003, 9901, 5805, 5813, 1717, 1725, 1729, 9922, 81603, 9923, 5831, 81609, 5833, 1741, 1742, 3798, 120534, 79576, 116442, 200424, 7915, 116461, 55023, 79600, 9969, 1778, 284403, 1781, 5879, 5881, 1788, 79621, 5898, 5900, 79644, 5917, 1822, 79649, 55074, 5927, 81704, 3897, 3899, 10056, 1871, 5977, 57178, 55131, 112476, 28514, 10084, 128869, 10087, 55148, 6000, 8050, 3954, 51062, 374654, 51075, 26503, 59272, 55180, 1933, 57231, 10129, 26523, 51114, 55212, 147372, 10157, 1968, 51124, 51132, 57282, 4036, 4047, 6095, 55250, 81887, 83939, 55275, 51185, 4081, 2036, 79868]",471,464
322,"[4153, 731, 732, 1401]","[1401, 731, 732, 4153]",4,4
323,"[23209, 1967, 8890, 8891, 8892, 8893]","[23209, 1967, 8890, 8891, 8892, 8893]",6,6
327,"[8929, 8553, 2668, 59341, 590, 4783, 15, 6097, 627, 1908, 1909, 5979, 5340, 1407]","[8929, 8553, 2668, 59341, 590, 4783, 15, 6097, 627, 1908, 1909, 5979, 5340, 1407]",14,14
330,"[3073, 3074, 2055, 6792, 10128, 374291, 2581, 410, 5660, 5538, 1200, 1201, 6834, 1203, 5428, 285362, 8890, 443, 8892, 8893, 54982, 1738, 1355, 617, 4204, 4722, 4723, 4724, 6389, 4728]","[3073, 3074, 2055, 6792, 10128, 374291, 2581, 410, 5660, 5538, 1200, 1201, 285362, 1203, 5428, 6834, 8890, 443, 8892, 8893, 54982, 1738, 1355, 617, 4204, 4722, 4723, 4724, 6389, 4728]",30,30
331,"[2, 4099, 3077, 5649, 51225, 51741, 1565, 5663, 5664, 4129, 4133, 4137, 43, 574508, 3630, 2099, 3635, 23607, 3127, 3643, 5697, 581, 23621, 2629, 590, 596, 3162, 2147, 1636, 102, 7782, 10857, 10858, 10347, 8301, 2670, 627, 1139, 1141, 100126333, 642, 7305, 51338, 10891, 80025, 1191, 2218, 100616367, 1200, 177, 1718, 5819, 27328, 4803, 23237, 199, 5328, 10452, 5336, 26330, 768218, 4846, 4852, 494324, 124152, 7422, 4353, 57091, 267, 1808, 274, 7447, 801, 9510, 4914, 4915, 3897, 729920, 323, 836, 2896, 341, 25942, 3416, 10585, 23385, 348, 5468, 351, 1378, 7018, 7019, 406892, 1392, 3952, 1906, 2932, 6517, 25978, 55676, 894, 440193, 100500871, 23435, 7054, 7055, 22930, 3479, 3480, 3481, 3482, 406938, 4524, 1965, 945, 8633, 1471, 22976, 54209, 7124, 55764, 203228, 6620, 6622, 3553, 8678, 2023, 2026, 407022, 100170222, 54768, 498, 5621, 6648, 2041, 6653, 7167]","[2, 4099, 3077, 5649, 51225, 51741, 1565, 5663, 5664, 4129, 4133, 4137, 43, 3630, 2099, 3635, 23607, 3127, 3643, 5697, 581, 2629, 23621, 590, 596, 3162, 2147, 1636, 7782, 102, 10857, 10858, 10347, 8301, 2670, 627, 1139, 1141, 642, 7305, 51338, 10891, 80025, 1191, 2218, 1200, 177, 1718, 5819, 27328, 4803, 23237, 199, 5328, 10452, 5336, 26330, 4846, 4852, 124152, 7422, 4353, 57091, 267, 1808, 274, 7447, 801, 9510, 4914, 4915, 3897, 729920, 323, 836, 2896, 341, 25942, 3416, 23385, 10585, 5468, 348, 351, 1378, 7018, 7019, 1392, 3952, 1906, 2932, 6517, 25978, 55676, 894, 440193, 23435, 7054, 22930, 3479, 3480, 3481, 3482, 4524, 1965, 945, 8633, 1471, 22976, 54209, 55764, 7124, 203228, 6620, 6622, 3553, 8678, 2023, 2026, 54768, 498, 5621, 6648, 2041, 6653, 7167]",137,126
332,"[6147, 4099, 3077, 3082, 2580, 1565, 4128, 4129, 1571, 4133, 4137, 3630, 3122, 11315, 3127, 6202, 3643, 120892, 7226, 2629, 4680, 590, 1621, 3162, 105, 1644, 2668, 2670, 54892, 627, 4217, 4729, 5243, 10891, 2203, 2208, 374946, 154791, 683, 7345, 3761, 5819, 1728, 4803, 2244, 199, 3303, 6888, 4842, 100359403, 55532, 4843, 3313, 1269, 6908, 54541, 1812, 1813, 1310, 9529, 2876, 4929, 144195, 5444, 6469, 10059, 1356, 9045, 23400, 7019, 5997, 1906, 2941, 2944, 29058, 6531, 2950, 7054, 9623, 3480, 3481, 3482, 9627, 9112, 6571, 4524, 406957, 55737, 26047, 5071, 7124, 6622, 3047, 2026, 6128, 3569, 6647, 6648, 65018]","[6147, 4099, 3077, 3082, 2580, 1565, 4128, 4129, 1571, 4133, 4137, 3630, 3122, 11315, 3127, 6202, 3643, 120892, 7226, 2629, 4680, 590, 1621, 3162, 105, 2668, 54892, 2670, 1644, 627, 4729, 4217, 5243, 10891, 2203, 2208, 374946, 154791, 683, 3761, 7345, 5819, 1728, 4803, 2244, 199, 3303, 6888, 4842, 4843, 55532, 3313, 1269, 6908, 54541, 1812, 1813, 9529, 2876, 4929, 144195, 5444, 6469, 10059, 1356, 9045, 23400, 7019, 5997, 1906, 2941, 2944, 29058, 6531, 2950, 7054, 9623, 9112, 3480, 3482, 3481, 9627, 6571, 4524, 55737, 26047, 5071, 7124, 6622, 3047, 2026, 6128, 3569, 6647, 6648, 65018]",99,96
