OMIMID,geneID
104300,"[2, 43, 102, 267, 274, 341, 348, 351, 498, 581, 590, 596, 627, 801, 836, 945, 1139, 1141, 1191, 1200, 1378, 1392, 1471, 1565, 1636, 1718, 1808, 1965, 2023, 2041, 2099, 2147, 2932, 3077, 3127, 3162, 3416, 3479, 3480, 3481, 3482, 3553, 3630, 3635, 3643, 3952, 4129, 4137, 4353, 4524, 4846, 4852, 5328, 5336, 5468, 5621, 5649, 5663, 5664, 5697, 5819, 6517, 6648, 6653, 7018, 7019, 7124, 7167, 7422, 7447, 7782, 8301, 8633, 9510, 10347, 10452, 10857, 10858, 23237, 23385, 23607, 23621, 26330, 27328, 51225, 51338, 51741, 54209, 55676, 57091, 124152, 406892, 406938, 407022, 494324, 574508, 768218, 100126333, 100170222, 100500871, 100616367]"
104310,[348]
104311,[]
104500,[10117]
104510,[1747]
104530,[3914]
105120,[2934]
105150,[1471]
105200,"[335, 567, 2243, 2934, 4069]"
105210,[7276]
105250,"[9180, 133396]"
105400,"[331, 598, 682, 794, 834, 924, 968, 1191, 1270, 1387, 1471, 1509, 1639, 2251, 2326, 2353, 2554, 2637, 2664, 2670, 2892, 3297, 3718, 3727, 3797, 3949, 4744, 5154, 5179, 5444, 5630, 6256, 6404, 6464, 6615, 6647, 7074, 7090, 7114, 7124, 7431, 7476, 9118, 10736, 26039, 27040, 56893, 120237, 170825, 340990]"
105500,"[755, 959, 1804, 2521, 2670, 2936, 2950, 4336, 4750, 5321, 5444, 5743, 6311, 6506, 6529, 6647, 6648, 7157, 8878, 10133, 10280, 11315, 23025, 23256, 23435, 25978, 27242, 51163, 54822, 57172, 203228]"
105550,"[2521, 7415, 8878, 23435, 25978, 29110, 203228, 400916]"
105580,[]
105600,"[9493, 10483, 10661, 84529, 146059]"
105650,"[2056, 6223, 51816]"
105800,"[1281, 2006, 2022, 7049, 83854, 116833]"
105830,"[2562, 4204, 6792, 7337]"
105835,[8200]
106100,"[710, 716, 2161, 3827]"
106180,[]
106190,[3709]
106210,"[2296, 5080, 7490, 26610, 27022, 54765]"
106240,[]
106250,[]
106260,[8626]
106280,[]
106400,[]
106500,[]
106600,"[4054, 4487, 10265]"
106700,[27063]
107100,"[1016, 1024, 1044, 1501, 1910, 2187, 2294, 2737, 3110, 3717, 4613, 6444, 6659, 6786, 7096, 7547, 8573, 9882, 9968, 22871, 23048, 23164, 27121, 27152, 51029, 51057, 51086, 51295, 55553, 57217, 64374, 64399, 84432, 85403, 90362, 92002, 92241, 154810, 164395, 167691, 222546]"
107200,"[1260, 10178]"
107250,"[1545, 2301, 5309, 7837, 27151]"
107320,[]
107480,"[6299, 51339]"
107600,"[387, 3516, 3691, 4851, 5339, 9790, 10804, 54567, 57514, 57572, 285203]"
107640,[]
107650,[1909]
107680,"[19, 335]"
107800,[]
107970,[7043]
108010,"[3569, 3845]"
108100,[]
108120,"[4604, 4621, 7136, 7140, 7169, 259232]"
108145,[63895]
108200,[]
108300,"[1280, 1298, 1299, 1301, 84695]"
108340,[]
108500,[773]
108600,[6843]
108720,[2317]
108721,[2317]
108770,"[2702, 4878, 6331]"
108800,"[2626, 2627, 7026, 9320, 23040, 55879, 78987]"
108900,[1482]
108985,[7003]
109100,"[355, 567, 716, 721, 940, 959, 1277, 1314, 1409, 1415, 1958, 2091, 2157, 2213, 2833, 3156, 3240, 3263, 3313, 3458, 3565, 3569, 3605, 3694, 3880, 5175, 5196, 5913, 5949, 6648, 6774, 7038, 7042, 7076, 7128, 7132, 7173, 7293, 23411, 26191, 54414, 57379]"
109120,[]
109150,[4287]
109200,"[142, 367, 387, 1244, 1392, 4524, 5573, 6716, 6832, 7421, 7538, 8797, 23476, 54503, 55806]"
109350,"[18, 3576, 5743, 6863]"
109400,"[2736, 5727, 5741, 8643, 51684]"
109543,"[472, 595, 3500, 5027, 6209, 7157, 22806, 25913, 28444, 115761]"
109650,"[196, 335, 338, 355, 720, 847, 1230, 3106, 3383, 3576, 3586, 3592, 3683, 3689, 4210, 5054, 6775, 7099, 8302, 51752, 149233, 170679, 337867, 101928376]"
